material_a,material_b,pair_type,total_score,ion_transport,electrochemical_stability,interface_compatibility,mechanical_compatibility,degradation_penalty,viable
LTO,EC,anode-electrolyte,0.9875,0.95,1.0,1.0,1.0,1.0,True
LTO,DMC,anode-electrolyte,0.9875,0.95,1.0,1.0,1.0,1.0,True
LTO,DEC,anode-electrolyte,0.9875,0.95,1.0,1.0,1.0,1.0,True
LTO,EMC,anode-electrolyte,0.9875,0.95,1.0,1.0,1.0,1.0,True
LCO,DMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
LCO,DEC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
LCO,EMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC811,DMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC811,DEC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC811,EMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC622,DMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC622,DEC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC622,EMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC111,DMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC111,DEC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
NMC111,EMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
LMO,DMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
LMO,DEC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
LMO,EMC,cathode-electrolyte,0.9575,0.95,1.0,0.85,1.0,1.0,True
Graphite,EC,anode-electrolyte,0.9325,0.95,0.85,0.95,1.0,1.0,True
LFP,EC,cathode-electrolyte,0.9175,0.95,1.0,0.85,0.6,1.0,True
LFP,DMC,cathode-electrolyte,0.9175,0.95,1.0,0.85,0.6,1.0,True
LFP,DEC,cathode-electrolyte,0.9175,0.95,1.0,0.85,0.6,1.0,True
LFP,EMC,cathode-electrolyte,0.9175,0.95,1.0,0.85,0.6,1.0,True
LCO,EC,cathode-electrolyte,0.8975,0.95,0.8,0.85,1.0,1.0,True
NMC811,EC,cathode-electrolyte,0.8975,0.95,0.8,0.85,1.0,1.0,True
NMC622,EC,cathode-electrolyte,0.8975,0.95,0.8,0.85,1.0,1.0,True
NMC111,EC,cathode-electrolyte,0.8975,0.95,0.8,0.85,1.0,1.0,True
LMO,EC,cathode-electrolyte,0.8975,0.95,0.8,0.85,1.0,1.0,True
Graphite,DMC,anode-electrolyte,0.8725,0.95,0.85,0.65,1.0,1.0,True
Graphite,DEC,anode-electrolyte,0.8725,0.95,0.85,0.65,1.0,1.0,True
Graphite,EMC,anode-electrolyte,0.8725,0.95,0.85,0.65,1.0,1.0,True
LCO,LLZO,cathode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
NMC811,LLZO,cathode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
NMC622,LLZO,cathode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
NMC111,LLZO,cathode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
LMO,LLZO,cathode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
Graphite,LLZO,anode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
LTO,LLZO,anode-electrolyte,0.8394,0.6375,1.0,0.65,1.0,1.0,True
LCO,LiTFSI,cathode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
NMC811,LiTFSI,cathode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
NMC622,LiTFSI,cathode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
NMC111,LiTFSI,cathode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
LMO,LiTFSI,cathode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
Graphite,LiTFSI,anode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
Li_metal,LiTFSI,anode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
LTO,LiTFSI,anode-electrolyte,0.8375,0.95,0.5,1.0,1.0,1.0,True
LMO,LTO,cathode-anode,0.835,1.0,0.5,1.0,0.85,1.0,True
LFP,LLZO,cathode-electrolyte,0.7994,0.6375,1.0,0.65,0.6,1.0,True
LFP,LiTFSI,cathode-electrolyte,0.7975,0.95,0.5,1.0,0.6,1.0,True
LCO,LTO,cathode-anode,0.7875,0.75,0.5,1.0,1.0,1.0,True
NMC811,Graphite,cathode-anode,0.7875,0.75,0.5,1.0,1.0,1.0,True
NMC811,LTO,cathode-anode,0.7875,0.75,0.5,1.0,1.0,1.0,True
NMC622,LTO,cathode-anode,0.7875,0.75,0.5,1.0,1.0,1.0,True
NMC111,LTO,cathode-anode,0.7875,0.75,0.5,1.0,1.0,1.0,True
LMO,Graphite,cathode-anode,0.7875,0.75,0.5,1.0,1.0,1.0,True
LCO,LiPF6,cathode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
NMC811,LiPF6,cathode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
NMC622,LiPF6,cathode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
NMC111,LiPF6,cathode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
LMO,LiPF6,cathode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
Graphite,LiPF6,anode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
Li_metal,LiPF6,anode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
LTO,LiPF6,anode-electrolyte,0.7775,0.95,0.5,1.0,1.0,0.6,True
NMC622,Graphite,cathode-anode,0.7725,0.75,0.5,1.0,0.85,1.0,True
NMC111,Graphite,cathode-anode,0.7725,0.75,0.5,1.0,0.85,1.0,True
LCO,Graphite,cathode-anode,0.7598,0.75,0.5,1.0,0.7225,1.0,True
LCO,Li_metal,cathode-anode,0.7575,0.75,0.5,1.0,0.7,1.0,True
NMC811,Li_metal,cathode-anode,0.7575,0.75,0.5,1.0,0.7,1.0,True
NMC622,Li_metal,cathode-anode,0.7575,0.75,0.5,1.0,0.7,1.0,True
NMC111,Li_metal,cathode-anode,0.7575,0.75,0.5,1.0,0.7,1.0,True
LMO,Li_metal,cathode-anode,0.7575,0.75,0.5,1.0,0.7,1.0,True
Si,LLZO,anode-electrolyte,0.7514,0.6375,1.0,0.65,0.12,1.0,True
Si,LiTFSI,anode-electrolyte,0.7495,0.95,0.5,1.0,0.12,1.0,True
LFP,Graphite,cathode-anode,0.7475,0.75,0.5,1.0,0.6,1.0,True
Li_metal,LLZO,anode-electrolyte,0.7444,0.6375,1.0,0.55,0.7,0.7,True
LFP,LTO,cathode-anode,0.7385,0.75,0.5,1.0,0.51,1.0,True
LFP,LiPF6,cathode-electrolyte,0.7375,0.95,0.5,1.0,0.6,0.6,True
LFP,Li_metal,cathode-anode,0.7295,0.75,0.5,1.0,0.42,1.0,True
Si,DEC,anode-electrolyte,0.7145,0.95,0.85,0.3,0.12,1.0,True
Si,EMC,anode-electrolyte,0.7145,0.95,0.85,0.3,0.12,1.0,True
LTO,Li3PS4,anode-electrolyte,0.705,0.9,0.3833,0.65,0.85,1.0,True
Graphite,Li3PS4,anode-electrolyte,0.7033,0.9,0.3275,0.65,1.0,1.0,True
Li_metal,EC,anode-electrolyte,0.7025,0.95,0.85,0.25,1.0,0.4,True
Li_metal,DMC,anode-electrolyte,0.7025,0.95,0.85,0.25,1.0,0.4,True
Li_metal,DEC,anode-electrolyte,0.7025,0.95,0.85,0.25,1.0,0.4,True
Li_metal,EMC,anode-electrolyte,0.7025,0.95,0.85,0.25,1.0,0.4,True
Li_metal,Li3PS4,anode-electrolyte,0.7025,0.9,0.325,0.65,1.0,1.0,True
LCO,Si,cathode-anode,0.6995,0.75,0.5,1.0,0.12,1.0,True
NMC811,Si,cathode-anode,0.6995,0.75,0.5,1.0,0.12,1.0,True
NMC622,Si,cathode-anode,0.6995,0.75,0.5,1.0,0.12,1.0,True
NMC111,Si,cathode-anode,0.6995,0.75,0.5,1.0,0.12,1.0,True
LMO,Si,cathode-anode,0.6995,0.75,0.5,1.0,0.12,1.0,True
LFP,Si,cathode-anode,0.6947,0.75,0.5,1.0,0.072,1.0,True
Si,LiPF6,anode-electrolyte,0.6895,0.95,0.5,1.0,0.12,0.6,True
Si,EC,anode-electrolyte,0.6545,0.95,0.85,0.3,0.12,0.6,True
Si,DMC,anode-electrolyte,0.6545,0.95,0.85,0.3,0.12,0.6,True
Graphite,LGPS,anode-electrolyte,0.6508,0.75,0.2775,0.65,1.0,1.0,True
Si,Li3PS4,anode-electrolyte,0.6135,0.9,0.3275,0.65,0.102,1.0,True
LTO,LGPS,anode-electrolyte,0.5945,0.75,0.14,0.65,0.85,1.0,True
NMC811,Li3PS4,cathode-electrolyte,0.59,0.9,0.0,0.65,0.85,1.0,True
NMC622,Li3PS4,cathode-electrolyte,0.59,0.9,0.0,0.65,0.85,1.0,True
NMC111,Li3PS4,cathode-electrolyte,0.59,0.9,0.0,0.65,0.85,1.0,True
LMO,Li3PS4,cathode-electrolyte,0.59,0.9,0.0,0.65,0.85,1.0,True
Li_metal,LGPS,anode-electrolyte,0.59,0.75,0.275,0.65,0.85,0.7,True
LCO,Li3PS4,cathode-electrolyte,0.575,0.9,0.0,0.65,0.7,1.0,True
LFP,Li3PS4,cathode-electrolyte,0.556,0.9,0.0,0.65,0.51,1.0,True
NMC111,LGPS,cathode-electrolyte,0.5525,0.75,0.0,0.65,0.85,1.0,True
LFP,LGPS,cathode-electrolyte,0.5275,0.75,0.0,0.65,0.6,1.0,True
Si,LGPS,anode-electrolyte,0.4777,0.75,0.0,0.65,0.102,1.0,False
LCO,LGPS,cathode-electrolyte,0.4475,0.75,0.0,0.65,0.85,0.3,False
NMC811,LGPS,cathode-electrolyte,0.4475,0.75,0.0,0.65,0.85,0.3,False
NMC622,LGPS,cathode-electrolyte,0.4475,0.75,0.0,0.65,0.85,0.3,False
LMO,LGPS,cathode-electrolyte,0.4475,0.75,0.0,0.65,0.85,0.3,False
