family,label,formula,structure_type,structure_conf,voltage_V,voltage_conf,capacity_mAh_g,capacity_conf,thermal_C,formation_energy_eV,fe_confidence,is_stable,synthesizability,zfc_satisfied,is_rediscovery,closest_known,closest_distance,nearest_3
NMC layered,NMC-Ni0.10Mn0.00Co0.90,LiNi0.1Mn0.0Co0.9O2,layered,0.98,3.804,0.95,350.9,0.92,200,-1.915,0.95,True,0.931,4/4,False,LCO,0.1414,LCO(0.141); NMC111(0.698); NMC622(0.883)
NMC layered,NMC-Ni0.10Mn0.10Co0.80,LiNi0.1Mn0.1Co0.8O2,layered,0.98,3.771,0.95,375.0,0.91,207,-1.893,0.95,True,0.930,4/4,False,LCO,0.2449,LCO(0.245); NMC111(0.572); NMC622(0.787)
NMC layered,NMC-Ni0.10Mn0.20Co0.70,LiNi0.1Mn0.2Co0.7O2,layered,0.98,3.757,0.95,384.9,0.90,213,-1.879,0.95,True,0.930,4/4,False,LCO,0.3742,LCO(0.374); NMC111(0.455); NMC622(0.707)
NMC layered,NMC-Ni0.10Mn0.30Co0.60,LiNi0.1Mn0.3Co0.6O2,layered,0.98,3.754,0.95,385.6,0.90,220,-1.873,0.95,True,0.929,4/4,False,NMC111,0.3559,NMC111(0.356); LCO(0.510); NMC622(0.648)
NMC layered,NMC-Ni0.10Mn0.40Co0.50,LiNi0.1Mn0.4Co0.5O2,layered,0.98,3.755,0.95,383.9,0.91,226,-1.896,0.95,True,0.930,4/4,False,NMC111,0.2944,NMC111(0.294); NMC622(0.616); LCO(0.648)
NMC layered,NMC-Ni0.10Mn0.50Co0.40,LiNi0.1Mn0.5Co0.4O2,layered,0.98,3.752,0.95,388.2,0.90,231,-1.899,0.95,True,0.930,4/4,False,NMC111,0.2944,NMC111(0.294); NMC622(0.616); LCO(0.787)
NMC layered,NMC-Ni0.10Mn0.60Co0.30,LiNi0.1Mn0.6Co0.3O2,layered,0.98,3.741,0.95,400.9,0.90,234,-1.906,0.95,True,0.931,4/4,False,NMC111,0.3559,NMC111(0.356); NMC622(0.648); NMC811(0.883)
NMC layered,NMC-Ni0.10Mn0.70Co0.20,LiNi0.1Mn0.7Co0.2O2,layered,0.98,3.726,0.95,417.1,0.89,238,-1.890,0.95,True,0.843,3/4,False,NMC111,0.4546,NMC111(0.455); NMC622(0.707); NMC811(0.927)
NMC layered,NMC-Ni0.10Mn0.80Co0.10,LiNi0.1Mn0.8Co0.1O2,layered,0.98,3.712,0.95,433.4,0.88,242,-1.918,0.95,True,0.843,3/4,False,NMC111,0.5715,NMC111(0.572); NMC622(0.787); NMC811(0.990)
NMC layered,NMC-Ni0.10Mn0.90Co0.00,LiNi0.1Mn0.9Co0.0O2,layered,0.98,3.699,0.94,448.6,0.87,246,-1.940,0.95,True,0.844,3/4,False,NMC111,0.6976,NMC111(0.698); NMC622(0.883); NMC811(1.068)
NMC layered,NMC-Ni0.20Mn0.00Co0.80,LiNi0.2Mn0.0Co0.8O2,layered,0.98,3.759,0.95,379.7,0.91,200,-1.880,0.95,True,0.930,4/4,False,LCO,0.2828,LCO(0.283); NMC111(0.589); NMC622(0.748)
NMC layered,NMC-Ni0.20Mn0.10Co0.70,LiNi0.2Mn0.1Co0.7O2,layered,0.98,3.755,0.95,381.3,0.90,206,-1.870,0.95,True,0.929,4/4,False,LCO,0.3742,LCO(0.374); NMC111(0.455); NMC622(0.648)
NMC layered,NMC-Ni0.20Mn0.20Co0.60,LiNi0.2Mn0.2Co0.6O2,layered,0.98,3.758,0.95,377.0,0.91,213,-1.865,0.95,True,0.929,4/4,False,NMC111,0.3266,NMC111(0.327); LCO(0.490); NMC622(0.566)
NMC layered,NMC-Ni0.20Mn0.30Co0.50,LiNi0.2Mn0.3Co0.5O2,layered,0.98,3.769,0.95,365.7,0.92,221,-1.867,0.95,True,0.929,4/4,False,NMC111,0.2160,NMC111(0.216); NMC622(0.510); LCO(0.616)
NMC layered,NMC-Ni0.20Mn0.40Co0.40,LiNi0.2Mn0.4Co0.4O2,layered,0.98,3.780,0.95,356.5,0.92,227,-1.891,0.95,True,0.930,4/4,False,NMC111,0.1633,NMC111(0.163); NMC622(0.490); NMC811(0.735)
NMC layered,NMC-Ni0.20Mn0.50Co0.30,LiNi0.2Mn0.5Co0.3O2,layered,0.98,3.767,0.95,371.1,0.92,230,-1.870,0.95,True,0.929,4/4,False,NMC111,0.2160,NMC111(0.216); NMC622(0.510); NMC811(0.748)
NMC layered,NMC-Ni0.20Mn0.60Co0.20,LiNi0.2Mn0.6Co0.2O2,layered,0.98,3.745,0.95,393.4,0.90,233,-1.876,0.95,True,0.930,4/4,False,NMC111,0.3266,NMC111(0.327); NMC622(0.566); NMC811(0.787)
