pair_type,component_a,component_b,total_score,electronic,thermodynamic,steric,solubility,reactivity_risk,viable
salt-solvent,LiPF6,EC,0.94,1.0,1.0,1.0,0.7,1.0,True
salt-solvent,LiPF6,DMC,0.94,1.0,1.0,1.0,0.7,1.0,True
salt-solvent,LiPF6,EMC,0.94,1.0,1.0,1.0,0.7,1.0,True
salt-solvent,LiPF6,PC,0.94,1.0,1.0,1.0,0.7,1.0,True
salt-solvent,LiPF6,FEC,0.94,1.0,1.0,1.0,0.7,1.0,True
salt-solvent,LiPF6,VC,0.94,1.0,1.0,1.0,0.7,1.0,True
solvent-solvent,EC,FEC,0.9322,1.0,0.9612,1.0,0.6998,1.0,True
solvent-solvent,EC,PC,0.9313,1.0,0.9565,1.0,0.7,1.0,True
solvent-solvent,PC,FEC,0.931,1.0,0.9555,1.0,0.6998,1.0,True
solvent-solvent,DEC,EMC,0.9254,1.0,0.9417,1.0,0.6855,1.0,True
salt-solvent,LiPF6,DEC,0.92,1.0,0.9,1.0,0.7,1.0,True
salt-solvent,LiClO4,EC,0.92,1.0,0.9,1.0,0.7,1.0,True
salt-solvent,LiClO4,FEC,0.92,1.0,0.9,1.0,0.7,1.0,True
salt-solvent,LiClO4,VC,0.92,1.0,0.9,1.0,0.7,1.0,True
solvent-solvent,PC,VC,0.9017,1.0,0.8112,1.0,0.697,1.0,True
solvent-solvent,DMC,EMC,0.8884,1.0,0.9442,1.0,0.6855,0.85,True
salt-solvent,LiClO4,DMC,0.88,1.0,0.7,1.0,0.7,1.0,True
salt-solvent,LiClO4,DEC,0.88,1.0,0.7,1.0,0.7,1.0,True
salt-solvent,LiClO4,EMC,0.88,1.0,0.7,1.0,0.7,1.0,True
salt-solvent,LiClO4,PC,0.88,1.0,0.7,1.0,0.7,1.0,True
solvent-solvent,DMC,DEC,0.8746,1.0,0.916,1.0,0.6446,0.85,True
solvent-solvent,EC,VC,0.8743,1.0,0.6743,1.0,0.697,1.0,True
solvent-solvent,FEC,VC,0.874,1.0,0.6717,1.0,0.6984,1.0,True
salt-solvent,LiTFSI,DEC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiTFSI,EMC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiTFSI,PC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiTFSI,FEC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,EC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,DMC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,DEC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,EMC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,PC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,FEC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiBF4,VC,0.84,1.0,0.5,1.0,0.7,1.0,True
salt-solvent,LiTFSI,EC,0.8175,1.0,0.5,0.85,0.7,1.0,True
salt-solvent,LiTFSI,DMC,0.8175,1.0,0.5,0.85,0.7,1.0,True
salt-solvent,LiTFSI,VC,0.8175,1.0,0.5,0.85,0.7,1.0,True
solvent-solvent,EMC,VC,0.8106,0.7072,0.7458,1.0,0.6002,1.0,True
solvent-solvent,DEC,VC,0.8045,0.7128,0.7786,1.0,0.5309,1.0,True
solvent-solvent,DMC,VC,0.7774,0.7088,0.709,1.0,0.6567,0.85,True
solvent-solvent,EMC,PC,0.7556,0.676,0.4744,1.0,0.6277,1.0,True
solvent-solvent,EC,EMC,0.7485,0.6816,0.4332,1.0,0.6277,1.0,True
solvent-solvent,EMC,FEC,0.7468,0.6632,0.4505,1.0,0.6205,1.0,True
solvent-solvent,EC,DEC,0.7454,0.6872,0.4766,1.0,0.563,1.0,True
solvent-solvent,DEC,FEC,0.7436,0.6688,0.4951,1.0,0.5543,1.0,True
solvent-solvent,DEC,PC,0.7365,0.6816,0.5224,1.0,0.4785,1.0,True
solvent-solvent,DMC,PC,0.7207,0.6776,0.438,1.0,0.6755,0.85,True
solvent-solvent,EC,DMC,0.7144,0.6832,0.4009,1.0,0.6755,0.85,True
solvent-solvent,DMC,FEC,0.7131,0.6648,0.4175,1.0,0.6709,0.85,True
