target,route_name,num_steps,feasibility,cost_score,time_score,safety_score,composite,bottleneck_step,missing_precursors,missing_equipment
Graphite_anode_electrode_water,graphite_anode_water_based,4,0.911,0.85,1.0,1.0,0.939,coat,,
Al2O3_coating,Al2O3_PVD_coating,2,0.866,0.85,1.0,1.0,0.923,deposit,,
TiN_coating,TiN_PVD_coating,3,0.894,0.7,1.0,1.0,0.903,deposit,,
YSZ_coating,YSZ_thermal_barrier,3,0.864,0.7,1.0,1.0,0.892,deposit,,
PVDF_film,PVDF_film_casting,3,0.925,0.85,0.7,0.92,0.864,cast,,
Graphite_anode_electrode,graphite_anode_coating,5,0.91,0.7,0.85,0.92,0.859,coat,,
LFP_cathode_electrode,LFP_cathode_coating,5,0.908,0.7,0.85,0.92,0.858,coat,,
LFP,LFP_sol_gel,3,0.835,0.85,0.7,1.0,0.852,calcine,,
NMC111,NMC111_coprecipitation,4,0.907,0.7,0.7,1.0,0.847,coprecipitate,,
LFP,LFP_solid_state,4,0.868,0.85,0.7,0.92,0.844,sinter,,
LCO,LCO_solid_state,3,0.889,0.7,0.7,1.0,0.841,sinter,,
NASICON,NASICON_solid_state,4,0.801,0.85,0.7,1.0,0.84,sinter,,
LMO,LMO_solid_state,2,0.863,0.85,0.55,1.0,0.832,calcine,,
NMC622,NMC622_coprecipitation,4,0.864,0.7,0.55,1.0,0.802,calcine,,
LFP,LFP_hydrothermal,4,0.831,0.85,0.55,0.92,0.801,hydrothermal,,
Al2O3,Al2O3_Bayer_simplified,3,0.86,0.95,0.35,0.92,0.791,precipitate,,
PEO_electrolyte,PEO_electrolyte_membrane,4,0.885,0.7,0.55,0.92,0.79,hot_press,,
LLZO,LLZO_solid_state,5,0.777,0.7,0.7,0.92,0.782,sinter,,
NMC811_cathode_electrode,NMC811_cathode_coating,4,0.89,0.7,0.7,0.76,0.781,coat,,
NMC811,NMC811_coprecipitation,6,0.828,0.7,0.55,0.92,0.77,calcine,,
NCA,NCA_coprecipitation,4,0.822,0.7,0.55,0.92,0.768,calcine,,
SiC,SiC_Acheson,3,0.823,0.95,0.55,0.72,0.768,carbothermal_reduction,,
Li3PS4,Li3PS4_ball_mill,2,0.859,0.5,0.85,0.52,0.701,ball_mill,,
LGPS,LGPS_ball_mill,3,0.767,0.3,0.55,0.24,0.498,anneal,,
